identity_id,image_path,l2_dist,asr,ssim,psnr
Gil_de_Ferran,results/phase2/robustness/downsample_facenet/Gil_de_Ferran_0005_facenet_cloaked.png,1.856010,1,0.949480,38.1357
Gordon_Brown,results/phase2/robustness/downsample_facenet/Gordon_Brown_0004_facenet_cloaked.png,1.505342,1,0.956419,36.6814
Gray_Davis,results/phase2/robustness/downsample_facenet/Gray_Davis_0013_facenet_cloaked.png,1.699127,1,0.932296,36.9454
Gray_Davis,results/phase2/robustness/downsample_facenet/Gray_Davis_0022_facenet_cloaked.png,1.652787,1,0.950951,37.7286
Guillermo_Coria,results/phase2/robustness/downsample_facenet/Guillermo_Coria_0014_facenet_cloaked.png,1.656071,1,0.935647,35.5279
Guillermo_Coria,results/phase2/robustness/downsample_facenet/Guillermo_Coria_0017_facenet_cloaked.png,1.725543,1,0.953568,37.0029
Gwyneth_Paltrow,results/phase2/robustness/downsample_facenet/Gwyneth_Paltrow_0006_facenet_cloaked.png,1.705728,1,0.947299,35.5685
Harrison_Ford,results/phase2/robustness/downsample_facenet/Harrison_Ford_0001_facenet_cloaked.png,1.415151,1,0.940319,34.6951
Hitomi_Soga,results/phase2/robustness/downsample_facenet/Hitomi_Soga_0001_facenet_cloaked.png,1.713136,1,0.947116,38.0495
Holly_Hunter,results/phase2/robustness/downsample_facenet/Holly_Hunter_0004_facenet_cloaked.png,1.678710,1,0.947639,36.6315
Howard_Dean,results/phase2/robustness/downsample_facenet/Howard_Dean_0012_facenet_cloaked.png,1.582544,1,0.932217,35.8416
Hu_Jintao,results/phase2/robustness/downsample_facenet/Hu_Jintao_0010_facenet_cloaked.png,1.610150,1,0.937423,36.8452
Hu_Jintao,results/phase2/robustness/downsample_facenet/Hu_Jintao_0013_facenet_cloaked.png,1.590191,1,0.944850,36.9773
Jackie_Chan,results/phase2/robustness/downsample_facenet/Jackie_Chan_0013_facenet_cloaked.png,1.543747,1,0.947262,36.7442
Jake_Gyllenhaal,results/phase2/robustness/downsample_facenet/Jake_Gyllenhaal_0003_facenet_cloaked.png,1.709034,1,0.944328,37.1885
Jake_Gyllenhaal,results/phase2/robustness/downsample_facenet/Jake_Gyllenhaal_0005_facenet_cloaked.png,1.701274,1,0.942127,37.6240
James_Kelly,results/phase2/robustness/downsample_facenet/James_Kelly_0001_facenet_cloaked.png,1.524340,1,0.941495,36.6732
James_Kelly,results/phase2/robustness/downsample_facenet/James_Kelly_0005_facenet_cloaked.png,1.309141,1,0.942868,36.2151
James_Wolfensohn,results/phase2/robustness/downsample_facenet/James_Wolfensohn_0005_facenet_cloaked.png,1.247264,1,0.947003,35.9220
Javier_Solana,results/phase2/robustness/downsample_facenet/Javier_Solana_0002_facenet_cloaked.png,1.665236,1,0.940593,36.8132
Javier_Solana,results/phase2/robustness/downsample_facenet/Javier_Solana_0004_facenet_cloaked.png,1.348917,1,0.940923,35.8174
Jay_Garner,results/phase2/robustness/downsample_facenet/Jay_Garner_0002_facenet_cloaked.png,1.295301,1,0.941579,34.6425
Jean-David_Levitte,results/phase2/robustness/downsample_facenet/Jean-David_Levitte_0004_facenet_cloaked.png,1.724175,1,0.948473,38.0763
Jean-David_Levitte,results/phase2/robustness/downsample_facenet/Jean-David_Levitte_0010_facenet_cloaked.png,1.690081,1,0.938951,36.8975
Jean_Chretien,results/phase2/robustness/downsample_facenet/Jean_Chretien_0020_facenet_cloaked.png,1.508370,1,0.940709,36.3894
Jean_Chretien,results/phase2/robustness/downsample_facenet/Jean_Chretien_0051_facenet_cloaked.png,1.414125,1,0.945639,36.4093
Jelena_Dokic,results/phase2/robustness/downsample_facenet/Jelena_Dokic_0002_facenet_cloaked.png,1.644905,1,0.941525,36.5533
Jelena_Dokic,results/phase2/robustness/downsample_facenet/Jelena_Dokic_0004_facenet_cloaked.png,1.804242,1,0.954762,38.7407
Jennifer_Aniston,results/phase2/robustness/downsample_facenet/Jennifer_Aniston_0017_facenet_cloaked.png,1.853288,1,0.957395,38.7235
Jeremy_Greenstock,results/phase2/robustness/downsample_facenet/Jeremy_Greenstock_0022_facenet_cloaked.png,1.413231,1,0.950544,36.6405
Jiang_Zemin,results/phase2/robustness/downsample_facenet/Jiang_Zemin_0011_facenet_cloaked.png,1.585069,1,0.938168,35.5114
Jimmy_Carter,results/phase2/robustness/downsample_facenet/Jimmy_Carter_0007_facenet_cloaked.png,1.491160,1,0.937547,36.4004
Jimmy_Carter,results/phase2/robustness/downsample_facenet/Jimmy_Carter_0008_facenet_cloaked.png,1.490174,1,0.936477,37.2512
Jiri_Novak,results/phase2/robustness/downsample_facenet/Jiri_Novak_0004_facenet_cloaked.png,1.608365,1,0.947284,36.5484
Jiri_Novak,results/phase2/robustness/downsample_facenet/Jiri_Novak_0010_facenet_cloaked.png,1.596660,1,0.944057,36.0503
John_Edwards,results/phase2/robustness/downsample_facenet/John_Edwards_0001_facenet_cloaked.png,1.710269,1,0.944454,37.2591
John_Edwards,results/phase2/robustness/downsample_facenet/John_Edwards_0007_facenet_cloaked.png,1.690644,1,0.947529,37.6530
John_McCain,results/phase2/robustness/downsample_facenet/John_McCain_0003_facenet_cloaked.png,1.684270,1,0.946194,37.4452
Jonathan_Edwards,results/phase2/robustness/downsample_facenet/Jonathan_Edwards_0007_facenet_cloaked.png,1.712770,1,0.945104,37.3111
Junichiro_Koizumi,results/phase2/robustness/downsample_facenet/Junichiro_Koizumi_0006_facenet_cloaked.png,1.775117,1,0.937797,36.4980
Justin_Timberlake,results/phase2/robustness/downsample_facenet/Justin_Timberlake_0001_facenet_cloaked.png,1.730026,1,0.946340,36.5757
Justin_Timberlake,results/phase2/robustness/downsample_facenet/Justin_Timberlake_0008_facenet_cloaked.png,1.626397,1,0.934926,36.4598
