identity_id,image_path,cosine_sim,asr,ssim,psnr
Harrison_Ford,results/phase2/robustness/downsample/Harrison_Ford_0001_cloaked.png,0.568781,0,0.945891,32.7821
Hitomi_Soga,results/phase2/robustness/downsample/Hitomi_Soga_0001_cloaked.png,0.482552,0,0.964608,38.0497
Holly_Hunter,results/phase2/robustness/downsample/Holly_Hunter_0004_cloaked.png,0.669751,0,0.958239,35.3854
Howard_Dean,results/phase2/robustness/downsample/Howard_Dean_0012_cloaked.png,0.516024,0,0.952056,35.6464
Hu_Jintao,results/phase2/robustness/downsample/Hu_Jintao_0010_cloaked.png,0.538041,0,0.949814,36.1718
Hu_Jintao,results/phase2/robustness/downsample/Hu_Jintao_0013_cloaked.png,0.619312,0,0.961046,36.4875
Jackie_Chan,results/phase2/robustness/downsample/Jackie_Chan_0013_cloaked.png,0.697132,0,0.951459,35.2486
Jake_Gyllenhaal,results/phase2/robustness/downsample/Jake_Gyllenhaal_0003_cloaked.png,0.532689,0,0.958053,36.7683
Jake_Gyllenhaal,results/phase2/robustness/downsample/Jake_Gyllenhaal_0005_cloaked.png,0.479703,0,0.957490,37.7112
James_Kelly,results/phase2/robustness/downsample/James_Kelly_0001_cloaked.png,0.572840,0,0.952063,35.8984
James_Kelly,results/phase2/robustness/downsample/James_Kelly_0005_cloaked.png,0.638861,0,0.962824,36.0799
James_Wolfensohn,results/phase2/robustness/downsample/James_Wolfensohn_0005_cloaked.png,0.764040,0,0.958764,35.3428
Javier_Solana,results/phase2/robustness/downsample/Javier_Solana_0002_cloaked.png,0.638710,0,0.954591,36.5025
Javier_Solana,results/phase2/robustness/downsample/Javier_Solana_0004_cloaked.png,0.710336,0,0.944386,34.7333
Jay_Garner,results/phase2/robustness/downsample/Jay_Garner_0002_cloaked.png,0.426894,0,0.936997,32.8597
Jean-David_Levitte,results/phase2/robustness/downsample/Jean-David_Levitte_0004_cloaked.png,0.707003,0,0.960843,37.9688
Jean-David_Levitte,results/phase2/robustness/downsample/Jean-David_Levitte_0010_cloaked.png,0.176912,1,0.958244,36.8058
Jean_Chretien,results/phase2/robustness/downsample/Jean_Chretien_0020_cloaked.png,0.518253,0,0.959232,36.0662
Jean_Chretien,results/phase2/robustness/downsample/Jean_Chretien_0051_cloaked.png,0.720675,0,0.965357,36.4445
Jelena_Dokic,results/phase2/robustness/downsample/Jelena_Dokic_0002_cloaked.png,0.499558,0,0.952365,35.6893
Jelena_Dokic,results/phase2/robustness/downsample/Jelena_Dokic_0004_cloaked.png,0.398521,0,0.970213,38.8288
Jennifer_Aniston,results/phase2/robustness/downsample/Jennifer_Aniston_0017_cloaked.png,0.698649,0,0.967095,38.6982
Jeremy_Greenstock,results/phase2/robustness/downsample/Jeremy_Greenstock_0022_cloaked.png,0.704022,0,0.968327,37.0311
Jiang_Zemin,results/phase2/robustness/downsample/Jiang_Zemin_0011_cloaked.png,0.488238,0,0.942799,33.4599
Jimmy_Carter,results/phase2/robustness/downsample/Jimmy_Carter_0007_cloaked.png,0.421868,0,0.945900,35.4367
Jimmy_Carter,results/phase2/robustness/downsample/Jimmy_Carter_0008_cloaked.png,0.530380,0,0.949895,37.2657
Jiri_Novak,results/phase2/robustness/downsample/Jiri_Novak_0004_cloaked.png,0.669071,0,0.962523,35.7892
Jiri_Novak,results/phase2/robustness/downsample/Jiri_Novak_0010_cloaked.png,0.588290,0,0.960202,35.1765
John_Edwards,results/phase2/robustness/downsample/John_Edwards_0001_cloaked.png,0.557752,0,0.963924,37.1210
John_Edwards,results/phase2/robustness/downsample/John_Edwards_0007_cloaked.png,0.459340,0,0.959630,37.3054
John_McCain,results/phase2/robustness/downsample/John_McCain_0003_cloaked.png,0.598935,0,0.956838,36.8514
Jonathan_Edwards,results/phase2/robustness/downsample/Jonathan_Edwards_0007_cloaked.png,0.427669,0,0.960194,37.0862
Junichiro_Koizumi,results/phase2/robustness/downsample/Junichiro_Koizumi_0006_cloaked.png,0.542293,0,0.942998,35.4103
Justin_Timberlake,results/phase2/robustness/downsample/Justin_Timberlake_0001_cloaked.png,0.410258,0,0.957702,35.7126
Justin_Timberlake,results/phase2/robustness/downsample/Justin_Timberlake_0008_cloaked.png,0.333983,0,0.947915,35.9211
Kamal_Kharrazi,results/phase2/robustness/downsample/Kamal_Kharrazi_0004_cloaked.png,0.721198,0,0.971750,37.4054
Keanu_Reeves,results/phase2/robustness/downsample/Keanu_Reeves_0010_cloaked.png,0.535225,0,0.967741,37.4807
Kevin_Spacey,results/phase2/robustness/downsample/Kevin_Spacey_0001_cloaked.png,0.461060,0,0.951066,36.1687
Kim_Clijsters,results/phase2/robustness/downsample/Kim_Clijsters_0008_cloaked.png,0.448422,0,0.967703,37.2880
Kim_Ryong-sung,results/phase2/robustness/downsample/Kim_Ryong-sung_0005_cloaked.png,0.716027,0,0.943583,34.1587
King_Abdullah_II,results/phase2/robustness/downsample/King_Abdullah_II_0001_cloaked.png,0.471918,0,0.957357,36.5578
King_Abdullah_II,results/phase2/robustness/downsample/King_Abdullah_II_0002_cloaked.png,0.499857,0,0.962774,37.2620
Lance_Armstrong,results/phase2/robustness/downsample/Lance_Armstrong_0013_cloaked.png,0.479642,0,0.969795,38.1279
Lance_Bass,results/phase2/robustness/downsample/Lance_Bass_0005_cloaked.png,0.389861,0,0.954754,35.2178
Larry_Brown,results/phase2/robustness/downsample/Larry_Brown_0003_cloaked.png,0.585706,0,0.968589,38.1880
Laura_Bush,results/phase2/robustness/downsample/Laura_Bush_0013_cloaked.png,0.251138,1,0.968380,37.7253
Laura_Bush,results/phase2/robustness/downsample/Laura_Bush_0016_cloaked.png,0.432583,0,0.955444,33.5958
Li_Zhaoxing,results/phase2/robustness/downsample/Li_Zhaoxing_0007_cloaked.png,0.690174,0,0.958822,36.4176
