identity_id,image_path,cosine_sim,asr,ssim,psnr
Hu_Jintao,results/phase2/robustness/jpeg50/Hu_Jintao_0013_cloaked.png,0.647143,0,0.929420,34.9012
Jackie_Chan,results/phase2/robustness/jpeg50/Jackie_Chan_0013_cloaked.png,0.638640,0,0.929655,34.4783
Jake_Gyllenhaal,results/phase2/robustness/jpeg50/Jake_Gyllenhaal_0003_cloaked.png,0.492309,0,0.930140,35.1476
Jake_Gyllenhaal,results/phase2/robustness/jpeg50/Jake_Gyllenhaal_0005_cloaked.png,0.513019,0,0.925133,35.7363
James_Kelly,results/phase2/robustness/jpeg50/James_Kelly_0001_cloaked.png,0.599338,0,0.915787,33.6925
James_Kelly,results/phase2/robustness/jpeg50/James_Kelly_0005_cloaked.png,0.609209,0,0.945270,35.1820
James_Wolfensohn,results/phase2/robustness/jpeg50/James_Wolfensohn_0005_cloaked.png,0.596539,0,0.937523,33.8898
Javier_Solana,results/phase2/robustness/jpeg50/Javier_Solana_0002_cloaked.png,0.589400,0,0.927059,34.9024
Javier_Solana,results/phase2/robustness/jpeg50/Javier_Solana_0004_cloaked.png,0.625167,0,0.923890,33.6088
Jay_Garner,results/phase2/robustness/jpeg50/Jay_Garner_0002_cloaked.png,0.512494,0,0.943357,33.7866
Jean-David_Levitte,results/phase2/robustness/jpeg50/Jean-David_Levitte_0004_cloaked.png,0.561500,0,0.932408,35.8056
Jean-David_Levitte,results/phase2/robustness/jpeg50/Jean-David_Levitte_0010_cloaked.png,0.053654,1,0.926859,35.3497
Jean_Chretien,results/phase2/robustness/jpeg50/Jean_Chretien_0020_cloaked.png,0.571621,0,0.937607,35.2937
Jean_Chretien,results/phase2/robustness/jpeg50/Jean_Chretien_0051_cloaked.png,0.685503,0,0.946188,35.6199
Jelena_Dokic,results/phase2/robustness/jpeg50/Jelena_Dokic_0002_cloaked.png,0.569755,0,0.923750,34.5231
Jelena_Dokic,results/phase2/robustness/jpeg50/Jelena_Dokic_0004_cloaked.png,0.608807,0,0.941526,36.8468
Jennifer_Aniston,results/phase2/robustness/jpeg50/Jennifer_Aniston_0017_cloaked.png,0.661240,0,0.943361,36.4299
Jeremy_Greenstock,results/phase2/robustness/jpeg50/Jeremy_Greenstock_0022_cloaked.png,0.638271,0,0.947102,35.3004
Jiang_Zemin,results/phase2/robustness/jpeg50/Jiang_Zemin_0011_cloaked.png,0.566567,0,0.926333,34.2525
Jimmy_Carter,results/phase2/robustness/jpeg50/Jimmy_Carter_0007_cloaked.png,0.482425,0,0.926067,34.4951
Jimmy_Carter,results/phase2/robustness/jpeg50/Jimmy_Carter_0008_cloaked.png,0.568148,0,0.925526,35.7581
Jiri_Novak,results/phase2/robustness/jpeg50/Jiri_Novak_0004_cloaked.png,0.564100,0,0.940035,34.7437
Jiri_Novak,results/phase2/robustness/jpeg50/Jiri_Novak_0010_cloaked.png,0.598917,0,0.942553,34.6508
John_Edwards,results/phase2/robustness/jpeg50/John_Edwards_0001_cloaked.png,0.548913,0,0.932612,35.0470
John_Edwards,results/phase2/robustness/jpeg50/John_Edwards_0007_cloaked.png,0.656123,0,0.936962,35.8653
John_McCain,results/phase2/robustness/jpeg50/John_McCain_0003_cloaked.png,0.595421,0,0.932957,35.7734
Jonathan_Edwards,results/phase2/robustness/jpeg50/Jonathan_Edwards_0007_cloaked.png,0.457572,0,0.928554,35.1361
Junichiro_Koizumi,results/phase2/robustness/jpeg50/Junichiro_Koizumi_0006_cloaked.png,0.461826,0,0.905749,33.9272
Justin_Timberlake,results/phase2/robustness/jpeg50/Justin_Timberlake_0001_cloaked.png,0.320885,0,0.920774,34.1976
Justin_Timberlake,results/phase2/robustness/jpeg50/Justin_Timberlake_0008_cloaked.png,0.340413,0,0.920634,34.8982
Kamal_Kharrazi,results/phase2/robustness/jpeg50/Kamal_Kharrazi_0004_cloaked.png,0.514159,0,0.948750,35.2883
Keanu_Reeves,results/phase2/robustness/jpeg50/Keanu_Reeves_0010_cloaked.png,0.618000,0,0.942733,35.1719
Kevin_Spacey,results/phase2/robustness/jpeg50/Kevin_Spacey_0001_cloaked.png,0.408380,0,0.927461,35.6269
Kim_Clijsters,results/phase2/robustness/jpeg50/Kim_Clijsters_0008_cloaked.png,0.379427,0,0.943508,35.5137
Kim_Ryong-sung,results/phase2/robustness/jpeg50/Kim_Ryong-sung_0005_cloaked.png,0.649573,0,0.920367,33.0676
King_Abdullah_II,results/phase2/robustness/jpeg50/King_Abdullah_II_0001_cloaked.png,0.464377,0,0.932443,35.0240
King_Abdullah_II,results/phase2/robustness/jpeg50/King_Abdullah_II_0002_cloaked.png,0.523806,0,0.935225,35.1829
Lance_Armstrong,results/phase2/robustness/jpeg50/Lance_Armstrong_0013_cloaked.png,0.486323,0,0.938378,35.8625
Lance_Bass,results/phase2/robustness/jpeg50/Lance_Bass_0005_cloaked.png,0.386540,0,0.924504,34.3373
Larry_Brown,results/phase2/robustness/jpeg50/Larry_Brown_0003_cloaked.png,0.585487,0,0.932767,35.5484
Laura_Bush,results/phase2/robustness/jpeg50/Laura_Bush_0013_cloaked.png,0.331357,0,0.937298,34.8650
Laura_Bush,results/phase2/robustness/jpeg50/Laura_Bush_0016_cloaked.png,0.320338,0,0.932803,33.1285
Li_Zhaoxing,results/phase2/robustness/jpeg50/Li_Zhaoxing_0007_cloaked.png,0.602247,0,0.931449,35.2039
Lucio_Gutierrez,results/phase2/robustness/jpeg50/Lucio_Gutierrez_0004_cloaked.png,0.448154,0,0.934941,34.7972
Lucy_Liu,results/phase2/robustness/jpeg50/Lucy_Liu_0005_cloaked.png,0.454620,0,0.925868,34.6280
Luis_Ernesto_Derbez_Bautista,results/phase2/robustness/jpeg50/Luis_Ernesto_Derbez_Bautista_0003_cloaked.png,0.528310,0,0.934150,34.8262
Luis_Gonzalez_Macchi,results/phase2/robustness/jpeg50/Luis_Gonzalez_Macchi_0003_cloaked.png,0.468701,0,0.902276,33.7586
Madonna,results/phase2/robustness/jpeg50/Madonna_0002_cloaked.png,0.431450,0,0.934713,35.8524
Madonna,results/phase2/robustness/jpeg50/Madonna_0003_cloaked.png,0.248487,1,0.929573,35.0345
Mahathir_Mohamad,results/phase2/robustness/jpeg50/Mahathir_Mohamad_0010_cloaked.png,0.566742,0,0.918948,34.2396
Mahmoud_Abbas,results/phase2/robustness/jpeg50/Mahmoud_Abbas_0021_cloaked.png,0.419882,0,0.942641,34.6168
Marcelo_Rios,results/phase2/robustness/jpeg50/Marcelo_Rios_0005_cloaked.png,0.593871,0,0.932921,33.9928
Marco_Antonio_Barrera,results/phase2/robustness/jpeg50/Marco_Antonio_Barrera_0004_cloaked.png,0.302020,0,0.939627,34.7895
Mark_Philippoussis,results/phase2/robustness/jpeg50/Mark_Philippoussis_0005_cloaked.png,0.350645,0,0.937535,35.5139
Mark_Philippoussis,results/phase2/robustness/jpeg50/Mark_Philippoussis_0006_cloaked.png,0.474695,0,0.931262,35.0899
Martina_McBride,results/phase2/robustness/jpeg50/Martina_McBride_0001_cloaked.png,0.343714,0,0.928986,34.7920
Michael_Bloomberg,results/phase2/robustness/jpeg50/Michael_Bloomberg_0012_cloaked.png,0.219406,1,0.915021,34.7713
Michael_Chang,results/phase2/robustness/jpeg50/Michael_Chang_0002_cloaked.png,0.439982,0,0.928840,34.8187
Michael_Chang,results/phase2/robustness/jpeg50/Michael_Chang_0003_cloaked.png,0.599241,0,0.940491,35.5692
Michael_Chang,results/phase2/robustness/jpeg50/Michael_Chang_0007_cloaked.png,0.622510,0,0.928955,35.1682
Michelle_Kwan,results/phase2/robustness/jpeg50/Michelle_Kwan_0007_cloaked.png,0.675865,0,0.945180,34.9161
Mike_Krzyzewski,results/phase2/robustness/jpeg50/Mike_Krzyzewski_0001_cloaked.png,0.638519,0,0.937874,34.5808
Mike_Krzyzewski,results/phase2/robustness/jpeg50/Mike_Krzyzewski_0002_cloaked.png,0.604251,0,0.946765,34.8588
Mike_Krzyzewski,results/phase2/robustness/jpeg50/Mike_Krzyzewski_0006_cloaked.png,0.423695,0,0.952541,35.6654
Mohammad_Khatami,results/phase2/robustness/jpeg50/Mohammad_Khatami_0005_cloaked.png,0.563582,0,0.913298,33.8337
Mohammad_Khatami,results/phase2/robustness/jpeg50/Mohammad_Khatami_0010_cloaked.png,0.580587,0,0.930909,35.5778
Monica_Seles,results/phase2/robustness/jpeg50/Monica_Seles_0006_cloaked.png,0.553699,0,0.939236,34.3019
Nadia_Petrova,results/phase2/robustness/jpeg50/Nadia_Petrova_0004_cloaked.png,0.576415,0,0.935659,35.7937
Naomi_Watts,results/phase2/robustness/jpeg50/Naomi_Watts_0021_cloaked.png,0.247713,1,0.946512,33.5213
Naomi_Watts,results/phase2/robustness/jpeg50/Naomi_Watts_0022_cloaked.png,0.533955,0,0.944871,36.6737
Oscar_De_La_Hoya,results/phase2/robustness/jpeg50/Oscar_De_La_Hoya_0007_cloaked.png,0.511040,0,0.949316,34.1605
Oswaldo_Paya,results/phase2/robustness/jpeg50/Oswaldo_Paya_0004_cloaked.png,0.396290,0,0.923172,33.6598
Oswaldo_Paya,results/phase2/robustness/jpeg50/Oswaldo_Paya_0005_cloaked.png,0.593887,0,0.946388,33.7287
Paul_Bremer,results/phase2/robustness/jpeg50/Paul_Bremer_0004_cloaked.png,0.441166,0,0.921755,33.3784
Paul_Bremer,results/phase2/robustness/jpeg50/Paul_Bremer_0012_cloaked.png,0.617236,0,0.926689,33.9305
Paula_Radcliffe,results/phase2/robustness/jpeg50/Paula_Radcliffe_0002_cloaked.png,0.473609,0,0.928598,35.4253
Paula_Radcliffe,results/phase2/robustness/jpeg50/Paula_Radcliffe_0005_cloaked.png,0.427486,0,0.939517,36.0330
Pedro_Almodovar,results/phase2/robustness/jpeg50/Pedro_Almodovar_0003_cloaked.png,0.440892,0,0.944300,36.0650
Pete_Sampras,results/phase2/robustness/jpeg50/Pete_Sampras_0006_cloaked.png,0.431155,0,0.925579,35.0049
Pierce_Brosnan,results/phase2/robustness/jpeg50/Pierce_Brosnan_0002_cloaked.png,0.428677,0,0.907359,33.6160
Pierce_Brosnan,results/phase2/robustness/jpeg50/Pierce_Brosnan_0008_cloaked.png,0.464345,0,0.923194,34.4258
Prince_Charles,results/phase2/robustness/jpeg50/Prince_Charles_0004_cloaked.png,0.634728,0,0.946082,35.0536
Queen_Elizabeth_II,results/phase2/robustness/jpeg50/Queen_Elizabeth_II_0009_cloaked.png,0.258781,1,0.946099,34.5212
Queen_Elizabeth_II,results/phase2/robustness/jpeg50/Queen_Elizabeth_II_0012_cloaked.png,0.432720,0,0.929231,34.9604
Ralf_Schumacher,results/phase2/robustness/jpeg50/Ralf_Schumacher_0004_cloaked.png,0.565390,0,0.942559,34.6852
Ralf_Schumacher,results/phase2/robustness/jpeg50/Ralf_Schumacher_0005_cloaked.png,0.577259,0,0.946198,34.3479
Recep_Tayyip_Erdogan,results/phase2/robustness/jpeg50/Recep_Tayyip_Erdogan_0021_cloaked.png,0.537774,0,0.933658,34.6088
Ricardo_Sanchez,results/phase2/robustness/jpeg50/Ricardo_Sanchez_0001_cloaked.png,0.507506,0,0.918941,32.7852
Ricardo_Sanchez,results/phase2/robustness/jpeg50/Ricardo_Sanchez_0005_cloaked.png,0.545718,0,0.916506,32.6468
Richard_Armitage,results/phase2/robustness/jpeg50/Richard_Armitage_0006_cloaked.png,0.578092,0,0.933084,36.0186
Richard_Armitage,results/phase2/robustness/jpeg50/Richard_Armitage_0008_cloaked.png,0.400000,0,0.918249,34.7254
Richard_Virenque,results/phase2/robustness/jpeg50/Richard_Virenque_0003_cloaked.png,0.710865,0,0.919130,34.8900
Richard_Virenque,results/phase2/robustness/jpeg50/Richard_Virenque_0008_cloaked.png,0.586883,0,0.947335,33.6174
Robert_Duvall,results/phase2/robustness/jpeg50/Robert_Duvall_0003_cloaked.png,0.145570,1,0.930307,35.8290
Robert_Mueller,results/phase2/robustness/jpeg50/Robert_Mueller_0002_cloaked.png,0.592953,0,0.948363,35.7187
Roger_Moore,results/phase2/robustness/jpeg50/Roger_Moore_0001_cloaked.png,0.410135,0,0.914707,34.3142
Romano_Prodi,results/phase2/robustness/jpeg50/Romano_Prodi_0005_cloaked.png,0.188096,1,0.946801,35.7241
Romano_Prodi,results/phase2/robustness/jpeg50/Romano_Prodi_0006_cloaked.png,0.549488,0,0.916633,34.2442
Ron_Dittemore,results/phase2/robustness/jpeg50/Ron_Dittemore_0006_cloaked.png,0.450142,0,0.932088,34.7361
Ron_Dittemore,results/phase2/robustness/jpeg50/Ron_Dittemore_0008_cloaked.png,0.530339,0,0.935052,34.7187
Saddam_Hussein,results/phase2/robustness/jpeg50/Saddam_Hussein_0004_cloaked.png,0.659001,0,0.934726,34.8377
Sarah_Jessica_Parker,results/phase2/robustness/jpeg50/Sarah_Jessica_Parker_0002_cloaked.png,0.511422,0,0.931086,35.6768
Sarah_Jessica_Parker,results/phase2/robustness/jpeg50/Sarah_Jessica_Parker_0006_cloaked.png,0.515196,0,0.946129,34.9563
Scott_Peterson,results/phase2/robustness/jpeg50/Scott_Peterson_0001_cloaked.png,0.415959,0,0.935540,35.8379
Sean_OKeefe,results/phase2/robustness/jpeg50/Sean_OKeefe_0003_cloaked.png,0.594158,0,0.925945,34.5798
Serena_Williams,results/phase2/robustness/jpeg50/Serena_Williams_0039_cloaked.png,0.550876,0,0.953921,35.3827
Shimon_Peres,results/phase2/robustness/jpeg50/Shimon_Peres_0003_cloaked.png,0.631014,0,0.915251,34.0116
Steve_Nash,results/phase2/robustness/jpeg50/Steve_Nash_0002_cloaked.png,0.530853,0,0.954142,35.3191
Steve_Nash,results/phase2/robustness/jpeg50/Steve_Nash_0003_cloaked.png,0.571391,0,0.944243,35.5118
Steven_Spielberg,results/phase2/robustness/jpeg50/Steven_Spielberg_0002_cloaked.png,0.170886,1,0.944107,35.4474
Steven_Spielberg,results/phase2/robustness/jpeg50/Steven_Spielberg_0005_cloaked.png,0.307860,0,0.919119,34.5129
Tariq_Aziz,results/phase2/robustness/jpeg50/Tariq_Aziz_0003_cloaked.png,0.598168,0,0.933831,32.8837
Tim_Henman,results/phase2/robustness/jpeg50/Tim_Henman_0004_cloaked.png,0.344934,0,0.912973,34.6503
Tim_Henman,results/phase2/robustness/jpeg50/Tim_Henman_0017_cloaked.png,0.486578,0,0.934124,36.3287
Tom_Hanks,results/phase2/robustness/jpeg50/Tom_Hanks_0006_cloaked.png,0.253175,1,0.927663,35.7967
Tommy_Thompson,results/phase2/robustness/jpeg50/Tommy_Thompson_0004_cloaked.png,0.627051,0,0.928460,33.8272
Tony_Stewart,results/phase2/robustness/jpeg50/Tony_Stewart_0006_cloaked.png,0.315896,0,0.919280,33.6000
Vaclav_Havel,results/phase2/robustness/jpeg50/Vaclav_Havel_0001_cloaked.png,0.474827,0,0.930031,34.3409
Venus_Williams,results/phase2/robustness/jpeg50/Venus_Williams_0001_cloaked.png,0.519454,0,0.930629,35.0583
Venus_Williams,results/phase2/robustness/jpeg50/Venus_Williams_0005_cloaked.png,0.623259,0,0.922200,34.4463
Venus_Williams,results/phase2/robustness/jpeg50/Venus_Williams_0008_cloaked.png,0.534604,0,0.913884,33.8502
Vicente_Fox,results/phase2/robustness/jpeg50/Vicente_Fox_0004_cloaked.png,0.429600,0,0.938383,34.2271
Vicente_Fox,results/phase2/robustness/jpeg50/Vicente_Fox_0027_cloaked.png,0.334781,0,0.937317,34.7198
Vincent_Brooks,results/phase2/robustness/jpeg50/Vincent_Brooks_0007_cloaked.png,0.486119,0,0.953011,35.0090
Wen_Jiabao,results/phase2/robustness/jpeg50/Wen_Jiabao_0004_cloaked.png,0.518350,0,0.935842,35.2512
William_Macy,results/phase2/robustness/jpeg50/William_Macy_0005_cloaked.png,0.564393,0,0.929714,35.3662
Xanana_Gusmao,results/phase2/robustness/jpeg50/Xanana_Gusmao_0002_cloaked.png,0.435775,0,0.944298,36.3932
Yoriko_Kawaguchi,results/phase2/robustness/jpeg50/Yoriko_Kawaguchi_0008_cloaked.png,0.601375,0,0.939493,34.3368
